category,rank,show_title,season_title,hours_viewed_first_28_days
Films (English),1,Red Notice,,364020000
Films (English),2,Don't Look Up,,359790000
Films (English),3,Bird Box,,282020000
Films (English),4,Extraction,,231340000
Films (English),5,The Unforgivable,,214700000
Films (English),6,The Irishman,,214570000
Films (English),7,The Adam Project,,209500000
Films (English),8,The Kissing Booth 2,,209250000
Films (English),9,6 Underground,,205470000
Films (English),10,Spenser Confidential,,197320000
Films (Non-English),1,Blood Red Sky,,110520000
Films (Non-English),2,The Platform,,108090000
Films (Non-English),3,Through My Window,,92440000
Films (Non-English),4,Below Zero,,78300000
Films (Non-English),5,Black Crab,,76430000
Films (Non-English),6,Rogue City,,66600000
Films (Non-English),7,The Forgotten Battle,,60940000
Films (Non-English),8,Restless,,59060000
Films (Non-English),9,Lost Bullet,,58320000
Films (Non-English),10,Spoiled Brats,,56900000
TV (English),1,Bridgerton,Bridgerton: Season 1,625490000
TV (English),2,Stranger Things,Stranger Things 3,582100000
TV (English),3,The Witcher,The Witcher: Season 1,541010000
TV (English),4,Inventing Anna,Inventing Anna: Limited Series,511920000
TV (English),5,13 Reasons Why,13 Reasons Why: Season 2,496120000
TV (English),6,The Witcher,The Witcher: Season 2,484340000
TV (English),7,13 Reasons Why,13 Reasons Why: Season 1,475570000
TV (English),8,Maid,Maid: Limited Series,469090000
TV (English),9,You,You: Season 3,467830000
TV (English),10,You,You: Season 2,457370000
TV (Non-English),1,Squid Game,Squid Game: Season 1,1650450000
TV (Non-English),2,Money Heist,Money Heist: Part 4,619010000
TV (Non-English),3,All of Us Are Dead,All of Us Are Dead: Season 1,560780000
TV (Non-English),4,Money Heist,Money Heist: Part 3,426400000
TV (Non-English),5,Money Heist,Money Heist: Part 5,395130000
TV (Non-English),6,Café con aroma de mujer,Café con aroma de mujer: Season 1,326910000
TV (Non-English),7,Lupin,Lupin: Part 1,316830000
TV (Non-English),8,Elite,Elite: Season 3,275300000
TV (Non-English),9,Who Killed Sara?,Who Killed Sara?: Season 1,266430000
TV (Non-English),10,Elite,Elite: Season 4,257090000
